"code","name_en","continent"
"BRIT12","United Kingdom","Europe"
"BRIT037","United Kingdom","Europe"
"BRIT036","United Kingdom","Europe"
"BRIT028","United Kingdom","Europe"
"BRIT013","United Kingdom","Europe"
"BRIT057","United Kingdom","Europe"
"BRIT055","United Kingdom","Europe"
"BRIT058","United Kingdom","Europe"
"BRIT024","United Kingdom","Europe"
"BRIT020","United Kingdom","Europe"
"BRIT018","United Kingdom","Europe"
"BRIT056","United Kingdom","Europe"
"BRIT041","United Kingdom","Europe"
"BRIT002","United Kingdom","Europe"
"BRIT005","United Kingdom","Europe"
"BRIT010","United Kingdom","Europe"
"BRIT4","United Kingdom","Europe"
"BRIT011","United Kingdom","Europe"
"BRIT027","United Kingdom","Europe"
"GREE004","Greece","Europe"
"GREE003","Greece","Europe"
"GREE006","Greece","Europe"
"GREE001","Greece","Europe"
"GREE007","Greece","Europe"
"GREE008","Greece","Europe"
"GREE009","Greece","Europe"
"GREE005","Greece","Europe"
"NETH002","Netherlands","Europe"
"NETH003","Netherlands","Europe"
"NETH004","Netherlands","Europe"
"NETH005","Netherlands","Europe"
"NETH006","Netherlands","Europe"
"NETH007","Netherlands","Europe"
"NETH008","Netherlands","Europe"
"NETH015","Netherlands","Europe"
"NETH018","Netherlands","Europe"
"NETH012","Netherlands","Europe"
"NETH011","Netherlands","Europe"
"NETH026","Netherlands","Europe"
"NETH028","Netherlands","Europe"
"NETH029","Netherlands","Europe"
"NETH030","Netherlands","Europe"
"NETH033","Netherlands","Europe"
"NETH032","Netherlands","Europe"
"NETH017","Netherlands","Europe"
"NETH001","Netherlands","Europe"
"NETH031","Netherlands","Europe"
"NETH021","Netherlands","Europe"
"NETH023","Netherlands","Europe"
"NETH024","Netherlands","Europe"
"NETH022","Netherlands","Europe"
"NETH025","Netherlands","Europe"
"AUST004","Austria","Europe"
"AUST003","Austria","Europe"
"AUST006","Austria","Europe"
"AUST002","Austria","Europe"
"AUST109","Austria","Europe"
"AUST110","Austria","Europe"
"AUST111","Austria","Europe"
"AUST112","Austria","Europe"
"AUST007","Austria","Europe"
"AUST008","Austria","Europe"
"AUST001","Austria","Europe"
"AUST005","Austria","Europe"
"ITAL002","Italy","Europe"
"ITAL022","Italy","Europe"
"ITAL027","Italy","Europe"
"ITAL2","Italy","Europe"
"ITAL004","Italy","Europe"
"ITAL015","Italy","Europe"
"ITAL017","Italy","Europe"
"ITAL008","Italy","Europe"
"ITAL011","Italy","Europe"
"ITAL016","Italy","Europe"
"ITAL014","Italy","Europe"
"ITAL1","Italy","Europe"
"ITAL023","Italy","Europe"
"ITAL024","Italy","Europe"
"ITAL025","Italy","Europe"
"ITAL020","Italy","Europe"
"ITAL012","Italy","Europe"
"ITAL010","Italy","Europe"
"ITAL009","Italy","Europe"
"ITAL013","Italy","Europe"
"ITAL028","Italy","Europe"
"SWIT222","Switzerland","Europe"
"SWIT219","Switzerland","Europe"
"SWIT223","Switzerland","Europe"
"SWIT221","Switzerland","Europe"
"SWIT129","Switzerland","Europe"
"SWIT121","Switzerland","Europe"
"SWIT122","Switzerland","Europe"
"SWIT110","Switzerland","Europe"
"SWIT109","Switzerland","Europe"
"SWIT104","Switzerland","Europe"
"SWIT103","Switzerland","Europe"
"SWIT119","Switzerland","Europe"
"SWIT120","Switzerland","Europe"
"SWIT117","Switzerland","Europe"
"SWIT131","Switzerland","Europe"
"SWIT116","Switzerland","Europe"
"SWIT130","Switzerland","Europe"
"SWIT112","Switzerland","Europe"
"SWIT105","Switzerland","Europe"
"SWIT106","Switzerland","Europe"
"SWIT137","Switzerland","Europe"
"SWIT134","Switzerland","Europe"
"SWIT133","Switzerland","Europe"
"SWIT135","Switzerland","Europe"
"SWIT128","Switzerland","Europe"
"SWIT180","Switzerland","Europe"
"SWIT181","Switzerland","Europe"
"SWIT179","Switzerland","Europe"
"SWIT214","Switzerland","Europe"
"SWIT183","Switzerland","Europe"
"SWIT196","Switzerland","Europe"
"SWIT194","Switzerland","Europe"
"SWIT185","Switzerland","Europe"
"SWIT186","Switzerland","Europe"
"SWIT195","Switzerland","Europe"
"SWIT187","Switzerland","Europe"
"SWIT188","Switzerland","Europe"
"SWIT182","Switzerland","Europe"
"SWIT184","Switzerland","Europe"
"SWIT123","Switzerland","Europe"
"SWIT124","Switzerland","Europe"
"SWIT203","Switzerland","Europe"
"SWIT102","Switzerland","Europe"
"SWIT132","Switzerland","Europe"
"SWIT115","Switzerland","Europe"
"SWIT114","Switzerland","Europe"
"SWIT113","Switzerland","Europe"
"SWIT125","Switzerland","Europe"
"SWIT126","Switzerland","Europe"
"SWIT108","Switzerland","Europe"
"SWIT107","Switzerland","Europe"
"YUGO002","Croatia","Europe"
"SLOV001","Slovenia","Europe"
"YUGO001","Slovenia","Europe"
"SLOV002","Slovenia","Europe"
"SLOV003","Slovenia","Europe"
"ZIMB003","Zimbabwe","Africa"
"ZIMB001","Zimbabwe","Africa"
"ZIMB002","Zimbabwe","Africa"
"GREE012","Bulgaria","Europe"
"BULG001","Bulgaria","Europe"
"GREE011","Bulgaria","Europe"
"TH001","Thailand","Asia"
"TH003","Thailand","Asia"
"TH006","Thailand","Asia"
"TH002","Thailand","Asia"
"TH004","Thailand","Asia"
"ALGE001","Algeria","Africa"
"ALGE003","Algeria","Africa"
"ALGE002","Algeria","Africa"
"MORC016","Algeria","Africa"
"MORC015","Algeria","Africa"
"SPAI003","Andorra","Europe"
"SPAI053","Andorra","Europe"
"YUGO005","Montenegro","Europe"
"YUGO004","Bosnia and Herzegovina","Europe"
"YUGO007","Bosnia and Herzegovina","Europe"
"YUGO003","Bosnia and Herzegovina","Europe"
"JORD001","Jordan","Asia"
"JORD003","Jordan","Asia"
"JORD002","Jordan","Asia"
"NEPA022","Nepal","Asia"
"NEPA025","Nepal","Asia"
"NEPA023","Nepal","Asia"
"NEPA024","Nepal","Asia"
"NEPA026","Nepal","Asia"
"NEPA028","Nepal","Asia"
"NEPA035","Nepal","Asia"
"NEPA037","Nepal","Asia"
"NEPA041","Nepal","Asia"
"NEPA042","Nepal","Asia"
"NEPA029","Nepal","Asia"
"NEPA031","Nepal","Asia"
"NEPA002","Nepal","Asia"
"NEPA017","Nepal","Asia"
"NEPA018","Nepal","Asia"
"NEPA021","Nepal","Asia"
"NEPA020","Nepal","Asia"
"NEPA019","Nepal","Asia"
"NEPA004","Nepal","Asia"
"NEPA005","Nepal","Asia"
"NEPA006","Nepal","Asia"
"NEPA038","Nepal","Asia"
"NEPA039","Nepal","Asia"
"NEPA007","Nepal","Asia"
"NEPA008","Nepal","Asia"
"NEPA009","Nepal","Asia"
"NEPA011","Nepal","Asia"
"NEPA012","Nepal","Asia"
"NEPA040","Nepal","Asia"
"NEPA001","Nepal","Asia"
"MT118","United States of America","North America"
"AK104","United States of America","North America"
"WY039","United States of America","North America"
"AK097","United States of America","North America"
"TN031","United States of America","North America"
"CO650","United States of America","North America"
"MT123","United States of America","North America"
"MT121","United States of America","North America"
"NY015","United States of America","North America"
"NY001","United States of America","North America"
