"node","com_name","networktype"
"OFBG_Q1","GN_ 3",2
"OSH_Q1","GN_ 3",2
"SAND_Q1","GN_ 3",2
"SARR2_Q2","GN_ 3",2
"SARR6_Q1","GN_ 3",2
"SAUL_Q1","GN_ 3",2
"SILL_Q2","GN_ 3",2
"TROY_Q1","GN_ 3",2
"VALK_Q2","GN_ 3",2
"VEN_Q1","GN_ 3",2
"VFH_Q2","GN_ 3",2
"VIGO_Q1","GN_ 3",2
"1AH_Q1","GN_ 4",2
"202_Q1","GN_ 4",2
"CUY_Q1","GN_ 4",2
"GENP_Q1","GN_ 4",2
"HOL_KORB","GN_ 4",2
"HOL_MB253","GN_ 4",2
"HOL_TATE","GN_ 4",2
"HOL_TRMB32","GN_ 4",2
"HOL_WEDW","GN_ 4",2
"METZ_Q3","GN_ 4",2
"SARR2_Q1","GN_ 4",2
"STF_Q1","GN_ 4",2
"388_Q1","GN_ 5",2
"585_Q2","GN_ 5",2
"600_Q1","GN_ 5",2
"DMN1_Q1","GN_ 5",2
"MEK_Q1","GN_ 5",2
"NOVY_Q2","GN_ 5",2
"POM3_Q1","GN_ 5",2
"563_Q1","GN_ 6",2
"587_Q1","GN_ 6",2
"VRIG_Q1","GN_ 6",2
"585_Q1","GN_ 7",2
"C4CRH_Q1","GN_ 7",2
"LRC_Q1","GN_ 7",2
"ABC_Q1","GN_ 8",2
"DIF_Q1","GN_ 8",2
"VEL_Q1","GN_ 8",2
"ALC_Q1","GN_ 9",2
"ALC_Q3","GN_ 9",2
"C5A_Q1","GN_ 9",2
"IJS_Q1","GN_ 9",2
"IWRD_Q1","GN_ 9",2
"MAV_Q1","GN_ 9",2
"NWH_Q1","GN_ 9",2
"RAT_Q1","GN_ 9",2
"SILL_Q1","GN_ 9",2
"SPR_Q1","GN_ 9",2
"VDMM_Q1","GN_ 9",2
"VDMWL_Q2","GN_ 9",2
"VEL_Q2","GN_ 9",2
"VOW_Q1","GN_ 9",2
"VZS_Q1","GN_ 9",2
"AZW_Q1","GN_10",2
"HRW_Q1","GN_10",2
"BAR_Q1","GN_11",2
"BGA_Q1","GN_11",2
"BHC_Q1","GN_11",2
"BJG_Q1","GN_11",2
"D2A_Q1","GN_11",2
"DAAH_Q1","GN_11",2
"DEU_Q1","GN_11",2
"DMN4_Q1","GN_11",2
"EMP_Q1","GN_11",2
"F1B_Q1","GN_11",2
"FLEVO_Q1","GN_11",2
"HER_Q1","GN_11",2
"LIW_Q1","GN_11",2
"NEW_Q1","GN_11",2
"OSND_Q1","GN_11",2
"POM4_Q1","GN_11",2
"SWP_Q1","GN_11",2
"BECRWE","GN_12",2
"VFH_Q1","GN_12",2
"CAO_Q1","GN_13",2
"ZLF_Q1","GN_13",2
"COS_Q1","GN_14",2
"DIK_Q1","GN_14",2
"DAMP_Q1","GN_15",2
"FLEV1_Q2","GN_15",2
"HOL_TITE","GN_15",2
"ILLA_Q1","GN_15",2
"VEND_Q1","GN_15",2
"VEND_Q3","GN_15",2
"VIGN_Q1","GN_15",2
"WARC_Q1","GN_15",2
"FLOR_Q1","GN_16",2
"IALP_Q1","GN_16",2
"LMH_Q1","GN_16",2
"NOVY_Q1","GN_16",2
"HBW_Q1","GN_17",2
"LMH_Q2","GN_17",2
"HOL_AAHO","GN_18",2
"HOL_KMBQ","GN_18",2
"HOL_MB259","GN_19",2
"HOL_MIWA","GN_19",2
"HOL_TWML","GN_19",2
"068_Q1","CPM_K3_01",3
"068_Q2","CPM_K3_01",3
"195_Q1","CPM_K3_01",3
"1DH_Q1","CPM_K3_01",3
"1GDGem","CPM_K3_01",3
"1TN_Q1","CPM_K3_01",3
"202_Q1","CPM_K3_01",3
"563_Q1","CPM_K3_01",3
"587_Q1","CPM_K3_01",3
"BECRAA","CPM_K3_01",3
"BECRKO","CPM_K3_01",3
"BECRWE","CPM_K3_01",3
"BHC_Q1","CPM_K3_01",3
"C4A_Q1","CPM_K3_01",3
"DAMP_Q1","CPM_K3_01",3
"DEU_Q1","CPM_K3_01",3
"DMN1_Q1","CPM_K3_01",3
"DMN1_Q3","CPM_K3_01",3
"ELT_Q1","CPM_K3_01",3
"EMP_Q1","CPM_K3_01",3
"F1B_Q1","CPM_K3_01",3
"FLEV1_Q1","CPM_K3_01",3
"FLOR_Q1","CPM_K3_01",3
"FLOR_Q2","CPM_K3_01",3
"HOK_Q1","CPM_K3_01",3
"HOL_AAHO","CPM_K3_01",3
"HOL_KBMB","CPM_K3_01",3
"HOL_KMBQ","CPM_K3_01",3
"HOL_KORB","CPM_K3_01",3
"HOL_LKBB","CPM_K3_01",3
"HOL_LKSB","CPM_K3_01",3
