site_chronology,species,length,first_year,last_year,author,Site_context,Site_type,site_location_utm_wkt
BAD_Q1,QUSP,104,95,198,Visser,Settlement,Civilian,SRID=23031;POINT(603023.381546798 5745323.13020276)
BAR_Q1,QUSP,290,-218,72,Visser,Settlement,Civilian,SRID=23031;POINT(513309.27429722 5672650.9699836)
BAW_Q1,QUSP,125,48,172,Visser,Settlement,Civilian,SRID=23031;POINT(723712.254318637 5794189.7674967)
BECRAA,QUSP,165,-19,146,Becker (1981),Castellum,Military,SRID=23031;POINT(1019816.5529896 5433634.35857265)
BECRKO,QUSP,142,-23,119,Becker (1981),Vicus,Civilian,SRID=23031;POINT(968018.787267365 5411672.69673269)
BECRMA,QUSP,172,8,179,Becker (1981),Castellum,Military,SRID=23031;POINT(978739.235082572 5457404.6011265)
BECRMU,QUSP,183,-23,160,Becker (1981),Castellum,Military,SRID=23031;POINT(981631.241161266 5446727.82552295)
BECRRB,QUSP,203,-22,181,Becker (1981),Vicus,Military,SRID=23031;POINT(1023608.42320135 5442347.30050287)
BECRSB,QUSP,185,-21,164,Becker (1981),Palissade,Military,SRID=23031;POINT(1022963.72733534 5444100.57956082)
BECRSU,QUSP,101,-24,77,Becker (1981),Vicus,Military,SRID=23031;POINT(917556.10402717 5371860.52294723)
BECRWE,QUSP,182,-18,164,Becker (1981),Castellum,Military,SRID=23031;POINT(987027.441254733 5434671.78361122)
BGA_Q1,QUSP,146,-14,132,Visser,Settlement,Civilian,SRID=23031;POINT(661889.512262889 5718891.2106485)
BHC_Q1,QUSP,226,-96,130,Visser,Settlement,Civilian,SRID=23031;POINT(554846.405642211 5695444.15640753)
BHC_Q2,QUSP,88,14,101,Visser,Settlement,Civilian,SRID=23031;POINT(554846.405642211 5695444.15640753)
BHO_Q1,QUSP,114,-54,60,Visser,Castellum,Military,SRID=23031;POINT(619679.573556875 5772002.75880332)
BJG_Q1,QUSP,300,-170,130,Visser,Settlement,Civilian,SRID=23031;POINT(504772.127144832 5669885.68720897)
BJV_Q1,QUSP,174,367,540,Visser,Settlement,Civilian,SRID=23031;POINT(510736.864533123 5671424.66182469)
BOUX_Q1,QUSP,193,-223,-31,Visser,Settlement,Civilian,SRID=23031;POINT(740124.494309672 5406874.22402249)
BRE_Q1,QUSP,241,-17,224,Visser,Settlement,Civilian,SRID=23031;POINT(620458.0142094 5717757.18348051)
BRE_Q2,QUSP,234,357,590,Visser,Settlement,Civilian,SRID=23031;POINT(620458.0142094 5717757.18348051)
BSN_Q1,QUSP,263,-224,39,Visser,Settlement,Civilian,SRID=23031;POINT(581944.165020674 5750166.1163348)
C4A_Q1,QUSP,303,-98,205,Visser,City,Civilian,SRID=23031;POINT(592585.234190934 5768800.99790071)
C4CRH_Q1,QUSP,134,-84,50,Visser,Canal,Military,SRID=23031;POINT(596297.686309926 5771803.98809886)
C5A_Q1,QUSP,284,-171,113,Visser,Vicus,Military,SRID=23031;POINT(613819.150464429 5776811.92961888)
CAO_Q1,QUSP,243,47,289,Visser,Settlement,Civilian,SRID=23031;POINT(613778.36776653 5822938.10692825)
COS_Q1,QUSP,173,170,342,Visser,Settlement,Civilian,SRID=23031;POINT(718888.826003869 5793870.56288337)
CUY_Q1,QUSP,143,245,387,Visser,Bridge,Military,SRID=23031;POINT(698196.929688547 5731584.83119795)
D1A_Q1,QUSP,238,14,251,Visser,Settlement,Civilian,SRID=23031;POINT(719049.111002095 5793865.84071937)
D2A_Q1,QUSP,117,-77,40,Visser,Settlement,Civilian,SRID=23031;POINT(772129.369271631 5810823.11815051)
DAAH_Q1,QUSP,160,-68,92,Visser,Settlement,Civilian,SRID=23031;POINT(527196.606443165 5619886.01827422)
