Series_A,Radius_A,Series_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p
068_QT01,R,ELT0003,1,99,0.71948951,0.64662131,10.25564989,8.34869965,0.73469388,0.01020408,0.0000033728
068_QT02,R,068_QT01,R,114,0.75510837,0.57598248,12.24361229,7.45676898,0.72566372,0.00884956,0.0000016052
068_QT02,R,068022,C,133,0.08341556,0.58782843,0.96172352,8.31659261,0.68939394,0.03787879,0.0000134937
068_QT02,R,068024,0,125,0.73897663,0.72437993,12.21391724,11.65325013,0.70967742,0.03225806,0.0000030158
068_QT02,R,068024,A,125,0.72329183,0.69914044,11.66363713,10.84477211,0.70161290,0.01612903,0.0000071179
068_QT02,R,068026,B,64,0.58527607,0.59726277,5.72926678,5.86357139,0.79365079,0.03174603,0.0000031382
068_QT02,R,068029,0,97,0.76615132,0.73884271,11.68069679,10.68642806,0.76041667,0.01041667,0.0000003341
068_QT02,R,068029,A,97,0.76045525,0.79426760,11.47369897,12.74188532,0.77083333,0.03125000,0.0000001113
068_QT02,R,068072,0,120,0.38237420,0.74322059,4.51425971,12.06708773,0.74789916,0.02521008,0.0000000635
068_QT02,R,068072,A,107,0.48619117,0.77141545,5.72824887,12.42222320,0.76415094,0.00943396,0.0000000535
068_QT02,R,068072,B,120,0.39352006,0.67621863,4.66955536,9.97095784,0.75630252,0.00000000,0.0000000225
068_QT02,R,068081,E,121,0.87156184,0.69700315,19.47330663,10.60346582,0.75833333,0.01666667,0.0000000152
068_QT02,R,068087,D,100,0.75467942,0.73618409,11.44495852,10.76839760,0.74747475,0.01010101,0.0000008450
068_QT02,R,068087,Q,77,0.77379139,0.82948196,10.64939308,12.86140306,0.77631579,0.01315789,0.0000014520
068_QT02,R,068130,C,54,0.50824872,0.69928823,4.29640284,7.05422244,0.71698113,0.00000000,0.0015815242
068_QT02,R,068138,0,159,-0.36817319,0.50657218,-4.97749853,7.36180599,0.69620253,0.02531646,0.0000008120
068_QT02,R,068138,A,155,-0.52089146,0.51025185,-7.57253916,7.33870140,0.68831169,0.01298701,0.0000029572
068_QT02,R,068138,C,93,0.47913448,0.54741999,5.23581996,6.24007143,0.75000000,0.01086957,0.0000016200
068_QT02,R,068144,B,90,0.79486162,0.65426699,12.35798282,8.11564642,0.74157303,0.00000000,0.0000051645
068_QT02,R,ELT_QT1,R,126,0.81828198,0.64378988,15.91579660,9.36868649,0.68000000,0.01600000,0.0000569941
068_QT02,R,ELT0003,0,100,0.72362866,0.67656390,10.43193821,9.09531098,0.76767677,0.00000000,0.0000001000
068_QT02,R,ELT0003,1,100,0.71776209,0.66531693,10.25673025,8.82218761,0.77777778,0.00000000,0.0000000324
068_QT02,R,ELT0003,2,77,0.60215135,0.61558013,6.57509073,6.76469254,0.73684211,0.01315789,0.0000363580
068_QT02,R,MEH0011,1,56,0.50293014,0.55395927,4.31529906,4.88953593,0.70909091,0.00000000,0.0019266038
068_QT03,R,195006,0,58,0.30632132,0.62069314,2.42946406,5.92413864,0.71929825,0.07017544,0.0009285334
