"series_a","series_b","r","sgc","ssgc","overlap","p"
"ca549","ca542","0.672394248237306","0.737864077669903","0.00970873786407767","103","1.37832558655404e-06"
"ca549","ca543","0.660731861522806","0.786407766990291","0","103","6.12009110056988e-09"
"ca549","ca544","0.685645393175752","0.70873786407767","0","103","2.26610970048835e-05"
"ca549","ca545","0.602489657547534","0.757281553398058","0","103","1.76766715265231e-07"
"ca549","ca546","0.625146701101418","0.70873786407767","0","103","2.26610970048835e-05"
"ca549","ca547","0.68798728231745","0.728155339805825","0","103","3.63820198878706e-06"
"ca549","ca548","0.615357737291105","0.786407766990291","0","103","6.12009110056988e-09"
"ca549","ca552","0.742773618274712","0.766990291262136","0","103","5.98291516329397e-08"
"ca549","ca554","0.645598724010776","0.786407766990291","0","103","6.12009110056988e-09"
"ca549","ca612","0.568938062305143","0.718446601941748","0","103","9.25084597969139e-06"
"ca550","ca540","0.567791776587109","0.727272727272727","0","231","4.89830398464619e-12"
"ca550","ca542","0.555968161734125","0.736559139784946","0.00537634408602151","186","1.10039533041117e-10"
"ca550","ca543","0.580290246131524","0.733333333333333","0","195","7.18971548963054e-11"
"ca550","ca544","0.542548234594774","0.797153024911032","0","281","0"
"ca550","ca545","0.622563987536366","0.759259259259259","0","216","2.53130849614536e-14"
"ca550","ca546","0.655570342175459","0.765182186234818","0.00404858299595142","247","0"
"ca550","ca547","0.637856193935257","0.743421052631579","0","304","0"
"ca550","ca548","0.648799173454325","0.73936170212766","0","188","5.2409632189665e-11"
"ca550","ca551","0.55356171270539","0.72463768115942","0","207","1.02006625368745e-10"
"ca550","ca601","0.645189362476029","0.7","0","180","8.02511126440919e-08"
"ca551","ca536","0.510785399522673","0.739130434782609","0","207","5.94435611844801e-12"
"ca551","ca538","0.531607391166603","0.696078431372549","0","204","2.12970818758151e-08"
"ca551","ca542","0.542557354799314","0.709677419354839","0.00537634408602151","186","1.07003153004825e-08"
"ca551","ca543","0.506828235432872","0.692307692307692","0","195","7.83613534061089e-08"
"ca551","ca550","0.55356171270539","0.72463768115942","0","207","1.02006625368745e-10"
"ca551","ca554","0.549127847000203","0.690821256038647","0","207","3.99936996853256e-08"
"ca552","az104","0.500887945396213","0.679300291545189","0.00291545189504373","343","3.10769188160975e-11"
"ca552","ca051","0.514161162220651","0.678362573099415","0.00292397660818713","342","4.19548840113748e-11"
"ca552","ca089","0.538673574333509","0.685552407932011","0.0028328611898017","353","3.11528580709819e-12"
"ca552","ca512","0.684630751647515","0.75","0.00581395348837209","344","0"
"ca552","ca513","0.529822343907438","0.682352941176471","0.00294117647058824","340","1.75779391042852e-11"
"ca552","ca514","0.576968053926147","0.691218130311615","0.0028328611898017","353","6.70574706873595e-13"
"ca552","ca536","0.598909425569661","0.718562874251497","0.0029940119760479","334","1.33226762955019e-15"
"ca552","ca537","0.614308475999078","0.699619771863118","0","263","9.5077723472059e-11"
"ca552","ca539","0.679593389172495","0.744444444444444","0.00277777777777778","360","0"
"ca552","ca540","0.755644940607451","0.813852813852814","0","231","0"
"ca552","ca542","0.718746014258558","0.817204301075269","0.00537634408602151","186","0"
"ca552","ca543","0.869803628437713","0.851282051282051","0","195","0"
"ca552","ca544","0.735046168668722","0.754448398576512","0.00355871886120996","281","0"
"ca552","ca545","0.667007439556348","0.768518518518518","0","216","2.88657986402541e-15"
"ca552","ca546","0.654362369906238","0.789473684210526","0.00404858299595142","247","0"
"ca552","ca547","0.710643136615503","0.756578947368421","0.00328947368421053","304","0"
"ca552","ca548","0.775220023776257","0.781914893617021","0","188","1.06581410364015e-14"
"ca552","ca549","0.742773618274712","0.766990291262136","0","103","5.98291516329397e-08"
"ca552","ca553","0.699655248034511","0.702777777777778","0.00555555555555556","360","1.4210854715202e-14"
"ca552","ca554","0.587339317914651","0.742160278745645","0.00348432055749129","287","2.22044604925031e-16"
"ca552","ca599","0.502609192686213","0.708074534161491","0","161","1.28944579014245e-07"
"ca552","ca601","0.612149097694829","0.694444444444444","0","180","1.81362105777794e-07"
"ca552","ca612","0.606899880880591","0.722222222222222","0.00555555555555556","360","0"
"ca552","nv057","0.518194587015203","0.661016949152542","0.00564971751412429","354","1.36943456574556e-09"
"ca553","az547","0.51936131314112","0.628635346756152","0.00223713646532438","447","5.34863100476457e-08"
"ca553","ca089","0.571137445355494","0.634920634920635","0.00453514739229025","441","1.45602201406803e-08"
"ca553","ca512","0.601113109239768","0.69060773480663","0.00552486187845304","362","4.07229805432507e-13"
"ca553","ca514","0.617055935771945","0.649732620320856","0.00267379679144385","374","6.98095448115055e-09"
"ca553","ca536","0.601951025893835","0.676646706586826","0.0029940119760479","334","1.07029940465964e-10"
"ca553","ca537","0.543990775307511","0.634980988593156","0.00380228136882129","263","1.19747226441369e-05"
"ca553","ca539","0.658982810677845","0.738317757009346","0.00233644859813084","428","0"
"ca553","ca540","0.718499273354485","0.779220779220779","0.00432900432900433","231","0"
"ca553","ca542","0.637074300919872","0.720430107526882","0.010752688172043","186","1.82648074442682e-09"
"ca553","ca543","0.772797580637905","0.697435897435897","0.00512820512820513","195","3.50600073417695e-08"
"ca553","ca544","0.680723260663572","0.715302491103203","0.00355871886120996","281","5.26689802882174e-13"
"ca553","ca545","0.657780472374367","0.731481481481482","0.00462962962962963","216","1.01656461026778e-11"
"ca553","ca546","0.575185117948865","0.728744939271255","0.00809716599190283","247","6.47926157171241e-13"
"ca553","ca547","0.667276738774251","0.707236842105263","0.00328947368421053","304","4.9515946898282e-13"
"ca553","ca548","0.717872546920836","0.771276595744681","0.00531914893617021","188","1.01252339845814e-13"
"ca553","ca552","0.699655248034511","0.702777777777778","0.00555555555555556","360","1.4210854715202e-14"
"ca553","ca554","0.682757920854322","0.766550522648084","0.00348432055749129","287","0"
"ca553","ca601","0.693821648790595","0.705555555555556","0.00555555555555556","180","3.47524149457712e-08"
"ca553","ca612","0.54934972010887","0.642857142857143","0.00446428571428571","448","1.47173140341295e-09"
"ca554","ca512","0.528798925061573","0.686346863468635","0","271","8.49916581557864e-10"
"ca554","ca538","0.557560352865909","0.676470588235294","0","204","4.63085373159089e-07"
"ca554","ca539","0.674079785132018","0.773519163763066","0","287","0"
"ca554","ca540","0.624424924699191","0.779220779220779","0","231","0"
"ca554","ca542","0.604419688246673","0.731182795698925","0.00537634408602151","186","2.8666113927045e-10"
"ca554","ca543","0.717077345698387","0.717948717948718","0","195","1.15062892547257e-09"
"ca554","ca545","0.580767421750401","0.740740740740741","0","216","1.48059342564011e-12"
"ca554","ca546","0.522906679016018","0.740890688259109","0.00404858299595142","247","3.68594044175552e-14"
"ca554","ca547","0.600521245881374","0.728222996515679","0","287","1.04360964314765e-14"
"ca554","ca548","0.586668681182859","0.771276595744681","0","188","1.01252339845814e-13"
"ca554","ca549","0.645598724010776","0.786407766990291","0","103","6.12009110056988e-09"
"ca554","ca551","0.549127847000203","0.690821256038647","0","207","3.99936996853256e-08"
"ca554","ca552","0.587339317914651","0.742160278745645","0.00348432055749129","287","2.22044604925031e-16"
"ca554","ca553","0.682757920854322","0.766550522648084","0.00348432055749129","287","0"
"ca554","ca601","0.631284885148452","0.722222222222222","0","180","2.47879072823309e-09"
"ca556","ca514","0.580290770095382","0.655080213903743","0.0053475935828877","374","1.99495575614606e-09"
"ca557","or042","0.569250167320528","0.744630071599045","0.00238663484486874","419","0"
"ca557","or074","0.508077043425981","0.744027303754266","0.00341296928327645","293","0"
"ca557","or075","0.65574122084328","0.75187969924812","0.0075187969924812","133","6.26085183697001e-09"
"ca557","or077","0.514481115476782","0.739864864864865","0.00337837837837838","296","2.22044604925031e-16"
